22|W1030606553|18.5576188|73.8264877|New Auditorium
22|W1030606555|18.5571243|73.8265553|Jaykar Knowledge Resource Centre
22|W1030606556|18.5569332|73.8263065|School of Open Learning
22|W1030606559|18.5567734|73.8283209|Guest house (SPPU)
22|W1030861118|18.5520799|73.8239839|Department of Chemistry
22|W1030861959|18.5523940|73.8233844|Central Instrumentation Facility
22|W1030861961|18.5527468|73.8231061|Science and Technology Park
22|W1033121159|18.5520648|73.8233812|Instrumentation Science Dept.
52|W1033389167|18.5517001|73.8294706|Masjid
49|W1033389168|18.5527496|73.8290770|Buddha vihar
88|W1033411542|18.5596629|73.8264090|IUCAA science garden
51|W1034034670|18.5522400|73.8297031|Ganpati Mandir
6|W1034696718|18.5550760|73.8253600|Pune University Guest House
124|W1067559325|18.5402478|73.8145644|NCL Tennis Complex
46|W1080909858|18.5420277|73.8358304|Bank of Baroda
23|W1080912696|18.5437941|73.8385688|Symphony Resto Bar
40|W1111954436|18.5440821|73.8283640|Chhatrapati Shivaji Garden
12|W1241298607|18.5571553|73.8403278|Ganji Ground
